Library System	Branch Name	Library Type	Street Address	City	ZIP Code	County	Website	Phone Number	Director	Branch Head	Building Square Feet	FTE Staff	Hours
Alamance County Public Libraries	May Memorial Library (Main)	Public	342 S Spring St	Burlington	27215	Alamance	https://www.alamancelibraries.org/	(336) 229-3588	Susana Goldman (Interim)	Deana Cunningham	"30,000"	26.48	Mon: 9 am-9 pm  Tue: 9 am-9 pm  Wed: 9 am-9 pm  Thu: 9 am-9 pm  Fri: 9 am-6 pm  Sat: 9 am-6 pm  Sun: 1 pm-5 pm
Alamance County Public Libraries	Graham Public Library	Public	211 S Main St	Graham	27253	Alamance	https://www.alamancelibraries.org/	(336) 570-6730	Susana Goldman (Interim)	Luba Sawczyn	"10,634"	7.75	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-6 pm  Thu: 9 am-6 pm  Fri: 9 am-6 pm  Sat: 9 am-6 pm  Sun: (Sep-May) 2 pm-5 pm
Alamance County Public Libraries	Mebane Public Library	Public	101 S First St	Mebane	27302	Alamance	https://www.alamancelibraries.org/	(919) 563-6431	Susana Goldman (Interim)	Katherine Arends	"14,000"	10.00	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-6 pm  Thu: 9 am-6 pm  Fri: 9 am-6 pm  Sat: 9 am-6 pm  Sun: (Sep-May) 2 pm-5 pm
Alamance County Public Libraries	North Park Library / Community Center	Public	849 Sharpe Rd	Burlington	27217	Alamance	https://www.alamancelibraries.org/	(336) 226-7185	Susana Goldman (Interim)	Alexis Vivian	"1,100"	1.00	Mon: 12 pm-3 pm; 4 pm-8 pm  Tue: 12 pm-3 pm; 4 pm-8 pm  Wed: 12 pm-3 pm; 4 pm-8 pm  Thu: 12 pm-3 pm; 4 pm-8 pm 
Albemarle Regional Library	Ahoskie Public Library	Public	210 E Church St	Ahoskie	27910	Hertford	http://www.arlnc.org/	(252) 332-5500	Jennifer Patterson	Cindy Henderson	"1,770"	2.48	Mon: 10 am-6 pm Tue: 10 am-6 pm Wed: 10 am-6 pm Thu: 10 am-6 pm Fri: 10 am-6 pm
Albemarle Regional Library	Gates County Library	Public	14 Cypress Creek Dr	Gatesville	27938	Gates	http://www.arlnc.org/	(252) 357-0110	Jennifer Patterson	Pat Familar	"4,192"	1.75	Mon: 10 am-6 pm  Tue: 10 am-6 pm  Wed: 10 am-8 pm Thu: 10 am-6 pm  Fri: 10 am-6 pm  Sat: 10 am-2 pm
Albemarle Regional Library	Hertford County Library	Public	303 W Tryon St	Winton	27986	Hertford	http://www.arlnc.org/	(252) 358-7855	Jennifer Patterson	Cynthia Rawls	"6,052"	1.85	Mon: 10 am-6 pm  Tue: 10 am-8 pm  Wed: 10 am-6 pm  Thu: 10 am-6 pm  Fri: 10 am-6 pm  Sat: 10 am-2 pm 
Albemarle Regional Library	Bertie County Public Library	Public	111 US Hwy 13/17 Bypass	Windsor	27983	Bertie	http://www.arlnc.org/	(252) 794-2244	Jennifer Patterson	Nancy Hughes	"5,076"	2.38	Mon: 10 am-8 pm  Tue: 10 am-6 pm  Wed: 10 am-6 pm Thu: 10 am-6 pm  Fri: 10 am-6 pm  Sat: 10 am-2 pm
Albemarle Regional Library	Elizabeth Sewell Parker Library	Public	213 E Main St	Murfreesboro	27855	Hertford	http://www.arlnc.org/	(252) 398-4494	Jennifer Patterson	Judy Hachey	"5,000"	1.83	Mon: 10 am-6 pm Tue: 10 am-6 pm Wed: 10 am-6 pm Thu: 10 am-8 pm Fri: 10 am-6 pm  Sat: 10 am-2 pm
Albemarle Regional Library	Northampton County Memorial Library	Public	207 W Jefferson St	Jackson	27845	Northampton	http://www.arlnc.org/	(252) 534-3571	Jennifer Patterson	Pam Brett	"8,380"	2.53	Mon: 10 am-6 pm  Tue: 10 am-6 pm  Wed: 10 am-6 pm  Thu: 10 am-8 pm  Fri: 10 am-6 pm  Sat: 10 am-2 pm
