CountyId	Name	OfficeName	PhysicalAddr1	PhysicalAddr2	PhysicalAddrCSZ	MapLink	MailingAddr1	MailingAddr2	MailingAddrCSZ	OfficePhoneNum	OfficePhoneNumExt	FaxNum	WebsiteAddr	OfficeHours	DirectorName
1	ALAMANCE	ALAMANCE COUNTY BOARD OF ELECTIONS	115 SOUTH MAPLE STREET		GRAHAM, NC 27253	http://maps.google.com/?q=115+SOUTH+MAPLE+STREET+GRAHAM,+NC+27253	Same as Physical Address			336-570-6755		336-570-6757	http://www.alamance-nc.com/elections/	M-F (8:00-5:00)	KATHY HOLLAND
2	ALEXANDER	ALEXANDER COUNTY BOARD OF ELECTIONS	370 1ST AVENUE SW		TAYLORSVILLE, NC 28681	http://maps.google.com/?q=370+1ST+AVENUE+SW+TAYLORSVILLE,+NC+28681	PO BOX 326		TAYLORSVILLE, NC 28681	828-632-2990		828-632-1381	http://alexandercountync.gov/departments/board-of-elections/	M-F (8:00-5:00)	PATRICK WIKE
3	ALLEGHANY	ALLEGHANY COUNTY BOARD OF ELECTIONS	348 S. MAIN ST. LOWER LEVEL 10		SPARTA, NC 28675	http://maps.google.com/?q=348+S.+MAIN+ST.+LOWER+LEVEL+10+SPARTA,+NC+28675	PO BOX 65		SPARTA, NC 28675	336-372-4557		336-372-5435	http://www.alleghanyelections.com	M-F (8:00-5:00)	SHERRY DAWSON
4	ANSON	ANSON COUNTY BOARD OF ELECTIONS	402 MORVEN ROAD		WADESBORO, NC 28170	http://maps.google.com/?q=402+MORVEN+ROAD+WADESBORO,+NC+28170	PO BOX 768		WADESBORO, NC 28170	704-994-3223		704-694-2443	http://www.co.anson.nc.us/CountyServices/BoardofElections.aspx	M-F (8:30-5:00)	STEVE ADAMS
5	ASHE	ASHE COUNTY BOARD OF ELECTIONS	150 GOVERNMENT CIRCLE, STE 2100		JEFFERSON, NC 28640	http://maps.google.com/?q=150+GOVERNMENT+CIRCLE,+STE+2100+JEFFERSON,+NC+28640	Same as Physical Address			336-846-5570		336-846-5574	http://www.ashecountygov.com/departments/board-of-elections/	M-F (8:00-5:00)	JOHN SHEPHERD
6	AVERY	AVERY COUNTY BOARD OF ELECTIONS	200 MONTEZUMA ST, SUITE 307	COURT HOUSE ANNEX	NEWLAND, NC 28657	http://maps.google.com/?q=200+MONTEZUMA+ST,+SUITE+307+NEWLAND,+NC+28657	PO BOX 145		NEWLAND, NC 28657	828-733-8282		828-733-8283	http://www.averycountync.gov/departments/board_elections_office.php	M-F (8:00-4:30)	SHEILA E. OLLIS
7	BEAUFORT	BEAUFORT COUNTY BOARD OF ELECTIONS	1308 HIGHLAND DRIVE, SUITE 104		WASHINGTON, NC 27889	http://maps.google.com/?q=1308+HIGHLAND+DRIVE,+SUITE+104+WASHINGTON,+NC+27889	PO BOX 1016		WASHINGTON, NC 27889	252-946-2321		252-974-2962	https://www.beaufortncboe.org/	M-F (8:00-5:00)	KELLIE HARRIS HOPKINS
8	BERTIE	BERTIE COUNTY BOARD OF ELECTIONS	210 W. WATSON ST.		WINDSOR, NC 27983	http://maps.google.com/?q=210+W.+WATSON+ST.+WINDSOR,+NC+27983	PO BOX 312		WINDSOR, NC 27983	252-794-5306		252-794-5368	http://www.co.bertie.nc.us/departments/elections/elections.html	M-F (8:30-5:00)	SHEILA HOLLOMAN
9	BLADEN	BLADEN COUNTY BOARD OF ELECTIONS	301 SOUTH CYPRESS STREET		ELIZABETHTOWN, NC 28337	http://maps.google.com/?q=301+SOUTH+CYPRESS+STREET+ELIZABETHTOWN,+NC+28337	PO BOX 512		ELIZABETHTOWN, NC 28337	910-862-6951		910-862-7820	https://bladennc.govoffice3.com/index.asp?SEC=1B08DD3E-D802-4B15-9D99-CCCA341FAD38	M-F (8:30-5:00)	VALERIA PEACOCK-MCKOY
10	BRUNSWICK	BRUNSWICK COUNTY BOARD OF ELECTIONS	75 STAMP ACT DRIVE NE	BUILDING H	BOLIVIA, NC 28422	http://maps.google.com/?q=75+STAMP+ACT+DRIVE+NE+BOLIVIA,+NC+28422	PO BOX 2		BOLIVIA, NC 28422	910-253-2620		910-253-2618	http://www.brunswickcountync.gov/elections/	M-F (8:30-5:00)	SARA KNOTTS
