name	sitename	addrline1	addr1_sup	addrline2
Alamance County Health Department		319 N. Graham-Hopedale Rd.		Burlington, NC 27217
Alexander County Health Department		338 First Avenue SW	Suite 1	Taylorsville, NC 28681
Alleghany County Health Department	Appalachian Health District	157 Health Service Rd		Sparta, NC 28675
Anson County Health Department		110 Ashe St.		Wadesboro, NC 28170
Ashe County Health Department	Appalachian Health District	413 McConnell St.		Jefferson, NC 28640
Avery County Health Department	Toe River Health District	545 Schultz Circle		Newland, NC 28657
Beaufort County Health Department		1436 Highland Dr.		Washington, NC 27889
Bertie County Health Department	Albemarle Regional Health Services	102 Rhodes Ave.		Windsor, NC 27983
Bladen County Health Department		300 Mercer Mill Rd.		Elizabethtown, NC 28337
Brunswick County Health Department		25 Courthouse Dr., N.E.		Bolivia, NC 28422
Brunswick County Health Department		1492 Village Road		Leland, NC 28451
Brunswick County Health Department	Eastgate Plaza	1509 Holden Beach Rd		Shallotte, NC 28470
Buncombe County Health Center		7 Yorkshire Ave.		Asheville, NC 28803
Buncombe County Health Center		336 Leicester Highway	Suite 120	Asheville, NC 28806
Buncombe County Health Center		257 Biltmore Avenue		Asheville, NC 28801
Buncombe County Health Center		119 Hendersonville Rd		Asheville, NC 28803
Burke County Health Department		700 East Parker Rd.		Morganton, NC 28655
Cabarrus Health Alliance		300 Mooresville Rd.		Kannapolis, NC 28081
Cabarrus Health Alliance	Logan Clinic	298 Lincoln St.		Concord, NC 28025
Caldwell County Health Department		2345 Morganton Blvd.	Suite B	Lenoir, NC 28645
Camden County Health Department	Albemarle Regional Health Services	160 US Hwy 158 East	Building B	Camden, NC 27921
Carteret County Health Department		3820 A Bridges St.		Morehead City, NC 28557
Caswell County Health Department		189 County Park Rd.		Yanceyville, NC 27379
Caswell County Health Department	Prospect Hill Community Health Center (Piedmont Health Services)	322 Main St.		Prospect Hill, NC 27314
Catawba County Health Department		3070 11th Ave Dr. SE		Hickory, NC 28602
Chatham County	Moncure Community Health Center (Piedmont Health Services)	728 Pittsboro-Moncure Rd.		Moncure, NC 27559
Chatham County	Siler City Community Health Center (Piedmont Health Services)	224 South 10th Ave.		Siler City, NC 27344
Cherokee County Health Department		228 Hilton St.		Murphy, NC 28906
Cherokee County Health Department	Qualla Boundary - Cherokee Indian WIC, Baby Love, CSC, & MCC	73 Kaiser Wilnoty Dr.		Cherokee, NC 28719
Chowan County Health Department	Albemarle Regional Health Services	202 W. Hicks St.		Edenton, NC 27932
