County	Name	AddrLine1	AddrLine2
Alamance	Alamance County DSS	319 North Graham Hopedale Road, Suite C	Burlington, NC 27217
Alexander	Alexander County DSS	604 7th Street, SW	Taylorsville, NC 28681
Alleghany	Alleghany County DSS	182 Doctor Street	Sparta, NC 28675
Anson	Anson County DSS	118 North Washington Street	Wadesboro, NC 28170
Ashe	Ashe County DSS	150 Government Circle, Suite 1400	Jefferson, NC 28640
Avery	Avery County DSS	175 Linville Street	Newland, NC 28657
Beaufort	Beaufort County DSS	632 West 5th Street	Washington, NC 27889
Bertie	Bertie County DSS	1006 Wayland Street	Windsor, NC 27983
Bladen	Bladen County DSS	208 McKay Street	Elizabethtown, NC 28337
Brunswick	Brunswick County DSS	60 Government Drive, NE	Bolivia, NC 28422-0219
Buncombe	Buncombe County DSS	40 Coxe Avenue	Asheville, NC 28802
Burke	Burke County DSS	700 East Parker Road	Morganton, NC 28680-0549
Cabarrus	Cabarrus County DSS	1303 South Cannon Boulevard	Kannapolis, NC 28083
Caldwell	Caldwell County DSS	2345 Morganton Blvd SW, Suite A	Lenoir, NC 28645
Camden	Camden County DSS	117 North Highway 343	Camden, NC 27921
Carteret	Carteret County DSS	210 Craven Street	Beaufort, NC 28516
Caswell	Caswell County DSS	175 East Church Street	Yanceyville, NC 27379
Catawba	Catawba County DSS	3030 11th Avenue Drive, SE	Hickory, NC 28602
Chatham	Chatham County DSS	102 Camp Drive	Pittsboro, NC 27312
Cherokee	Cherokee County DSS	4800 W US Highway 64	Murphy, NC 28906
Chowan	Chowan County DSS	100 W. Freemason Circle	Edenton, NC 27932
Clay	Clay County DSS	119 Courthouse Dr.	Hayesville, NC 28904
Cleveland	Cleveland County DSS	130 South Post Road	Shelby, NC 28150
Columbus	Columbus County DSS	40 Government Complex Road	Whiteville, NC 28472-0397
Craven	Craven County DSS	2818 Neuse Boulevard	New Bern, NC 28561-2039
Cumberland	Cumberland County DSS	1225 Ramsey Street	Fayetteville, NC 28301
Currituck	Currituck County DSS	153 Courthouse Rd., Suite 400	Currituck, NC 27929
Dare	Dare County DSS	107 Exeter Street	Manteo, NC 27954
Davidson	Davidson County DSS	913 Greensboro Street	Lexington, NC 27293
Davie	Davie County DSS	228 Hospital St	Mocksville, NC 27028
Duplin	Duplin County DSS	423 North Main Street	Kenansville, NC 28349
Durham	Durham County DSS	414 East Main Street	Durham, NC 27702-0810
Edgecombe	Edgecombe County DSS, Tarboro Office	122 E. St. James Street	Tarboro, NC 27886
Edgecombe	Edgecombe County DSS, Rocky Mount Office	301 South. Fairview Road	Rocky Mount, NC 27801
Forsyth	Forsyth County DSS	741 North Highland Avenue	Winston-Salem, NC 27101
Franklin	Franklin County DSS	107 Industrial Drive	Louisburg, NC 27549
Gaston	Gaston County DSS	330 Dr. Martin Luther King Jr. Way	Gastonia, NC 28052
Gates	Gates County DSS	200 Court Street	Gatesville, NC 27938
Graham	Graham County DSS	196 Knight Street	Robbinsville, NC 28771
Granville	Granville County DSS	410 West Spring Street	Oxford, NC 27565
Greene	Greene County DSS	227 Kingold Boulevard, Suite A	Snow Hill, NC 28580
Guilford	Guilford County DSS	1203 Maple Street (27405)	Greensboro, NC 27402-3388
Halifax	Halifax County DSS	4421 Hwy 301	Halifax, NC 27839
Harnett	Harnett County DSS	311 Cornelius Harnett Boulevard	Lillington, NC 27546
Haywood	Haywood County DSS	157 Paragon Parkway, Suite 300	Clyde, NC 28721
