School Name	Address Line1	Address Line2	City	Zip Code 5
ABSS Early College at ACC	1247 Jimmie Kerr Road	-	Graham	27253
Career and Technical Education Center	2550 Buckingham Road	-	Burlington	27217
Eastern Alamance High	4040 Mebane Rogers	-	Mebane	27302
Graham High	903 Trollinger Road	-	Graham	27253
Hugh M Cummings High	2200 N Mebane Street	-	Burlington	27217
Ray Street Academy	609 Ray Street	-	Graham	27253
Southern Alamance High	631 Southern High Road	-	Graham	27253
Walter M Williams High	1307 S Church Street	-	Burlington	27215
Western Alamance High	1731 N NC 87	-	Elon	27244
River Mill Academy	235 Cheeks Lane	-	Graham	27253
Clover Garden	2454 Altamahaw Union Ridge Road	-	Burlington	27217
The Hawbridge School	1735 Saxapahaw Bethlehem Church Rd	-	Saxapahaw	27340
Alexander Central High	223 School Drive	-	Taylorsville	28681
Alleghany High	404 Trojan Avenue	-	Sparta	28675
Anson Co. Early College High	177 Ledbetter Street	-	Polkton	28135
Anson Academy	118 N. Ashe Street	-	Wadesboro	28170
Anson High School	96 Anson High School Road	-	Wadesboro	28170
Ashe County High	184 Campus Drive	-	West Jefferson	28694
Avery County High	401 Avery County High School Road	-	Newland	28657
Blue Ridge Academy	76 Old Montezuma Rd	-	Newland	28657
Avery High STEM Academy	401 Avery County High School Rd	-	Newland	28657
Grandfather Academy	64 Grandfather Home Drive	-	Banner Elk	28604
Marjorie Williams Academy	129 Allen Circle	-	Crossnore	28616
B C Ed Tech Center	820 North Bridge St	-	Washington	27899
Beaufort Co Early College High	5337 Hwy 264 East	Building 10	Washington	27889
Northside High	7868 Free Union Church Road	-	Pinetown	27865
Southside High	5700 Hwy 33 East	-	Chocowinity	27817
Washington High	400 Slatestone Road	-	Washington	27889
Washington Montessori	2330 Old Bath Hwy	-	Washington	27889
Bertie Early College High	819 Governors Road	-	Windsor	27983
Bertie High	716 US Hwy 13 North	-	Windsor	27983
East Bladen High	5600 NC Hwy 87 East	-	Elizabethtown	28337
West Bladen High	1600 NC Hwy 410	-	Bladenboro	28320
Paul R Brown Leadership Academy	1300 Martin L King Jr Dr	-	Elizabethtown	28337
Brunswick County Early College	50 College Road NE	-	Bolivia	28422
The COAST	1109 Old Ocean Highway	-	Bolivia	28422
North Brunswick High	114 Scorpion Drive	-	Leland	28451
South Brunswick High	280 Cougar Drive BSL	-	Southport	28461
West Brunswick High	550 Whiteville Road NW	-	Shallotte	28470
Community High School	235 Old US 70	-	Swannanoa	28778
Reynolds High	1 Rocket Drive	-	Asheville	28803
Early College	340 Victoria Road	-	Asheville	28801
Middle College	340 Victoria Road	-	Asheville	28801
Owen High	99 Lake Eden Road	-	Black Mountain	28711
Erwin High	60 Lees Creek Road	-	Asheville	28806
Enka High	475 Enka Lake Road	-	Candler	28715
North Buncombe High	890 Clarks Chapel Road	-	Weaverville	28787
Roberson High	250 Overlook Road	-	Asheville	28803
Nesbitt Discovery Academy	175 Bingham Rd Ste 10	-	Asheville	28806
Asheville High	419 McDowell Street	-	Asheville	28803
School of Inquiry and Life Sciences	419 McDowell Street	-	Asheville	28803
IC Imagine 	1000 Brevard Road	Suite 175	Asheville	28806
The Franklin School of Innovation	21 Innovation Dr	-	Asheville	28806
Hallyburton Academy	205 South Main Street	-	Drexel	28619
Burke Middle College	1001 Burkemont Ave	-	Morganton	28655
East Burke High	3695 East Burke Boulevard	-	Connelly Springs	28612
Freedom High	511 Independence Boulevard	-	Morganton	28655
Jimmy C Draughn High School	709 Lovelady Road NE	-	Valdese	28690
North Liberty	523 Enola Road	-	Morganton	28655
Robert L. Patton High School	701 Enola Road	-	Morganton	28655
Cox Mill High School	1355 Cox Mill Rd	-	Concord	28027
Central Cabarrus High	505 Hwy 49 S	-	Concord	28025
Concord High	481 Burrage Road NE	-	Concord	28025
Jay M Robinson High	300 Pitts School Road SW	-	Concord	28027
Cabarrus Co Opportunity School	120 Marsh Avenue NW	-	Concord	28025
Mount Pleasant High	700 Walker Road	-	Mount Pleasant	28124
Northwest Cabarrus High	5130 NW Cabarrus Drive	-	Concord	28027
Hickory Ridge High	7321 Raging Ridge Road	-	Harrisburg	28075
Performance Learning Center	4521 Weddington Road	-	Concord	28027
Cabarrus-Kannapolis Early Coll	1531 Trinity Church Rd	-	Concord	28027
A L Brown High	415 E 1st Street	-	Kannapolis	28083
Carolina International School	9545 Poplar Tent Road	-	Concord	28027
Cabarrus Charter Academy	355 Poplar Crossing Dr NW	-	Concord	28027
Caldwell Career Cen Mid. Coll.	2857 Hickory Boulevard	-	Hudson	28638
Gateway School	1889 Dudley Shoals Road	-	Granite Falls	28630
Caldwell Early College	2859 Hickory Blvd SW	-	Hudson	28638
Hibriten High	1350 Panther Trail SE	-	Lenoir	28645
South Caldwell High	7035 Spartan Drive	-	Hudson	28638
West Caldwell High	300 W Caldwell Drive	-	Lenoir	28645
Camden County High	103 US 158 W	-	Camden	27921
Camden Early College High	103 US Highway 158 West	A	Camden	27921
Bridges School	140 Vashti Dr	-	Morehead City	28557
East Carteret High	3263 Hwy 70 E	-	Beaufort	28516
Croatan High	1 Cougar Lane	-	Newport	28570
West Carteret High	4700 Country Club Road	-	Morehead City	28557
Bartlett Yancey High	466 Main Street E	-	Yanceyville	27379
Bandys High	5040 E Bandys Road	-	Catawba	28609
Bunker Hill High	4675 Oxford School Road	-	Claremont	28610
Catawba Rosenwald Education Center	403 6th Ave SW	-	Catawba	28609
Challenger Early College High	2550 Hwy 70 SE	-	Hickory	28602
Fred T Foard High	3407 Plateau Road	-	Newton	28658
Maiden High	600 West Main Street	-	Maiden	28650
Saint Stephens High	3205 34th Street Drive NE	-	Hickory	28601
Hickory Career  Arts Magnet High School	409 8th Avenue NE	-	Hickory	28601
Hickory High 	1234 3rd Street NE	-	Hickory	28601
Conover Special Education	108 7th Street Place SW	-	Conover	28613
Newton-Conover High	338 W 15th Street	-	Newton	28658
Discovery High School	301 West 18th St	-	Newton	28658
SAGE Academy	501 Martin L King Jr Blvd	-	Siler City	27344
Chatham Central High	14950 NC Hwy 902 W	-	Bear Creek	27207
Jordan Matthews High	910 East Cardinal Street	-	Siler City	27344
Northwood High	310 Northwood High School Road	-	Pittsboro	27312
Chatham Charter	2200 Hamp Stone Rd	-	Siler City	27344
Woods Charter	160 Woodland Grove Ln	-	Chapel Hill	27516
Andrews High	50 High School Drive	-	Andrews	28901
Hiwassee Dam High	267 Blue Eagle Circle	-	Murphy	28906
The Oaks Academy	2230 Airport Road	-	Marble	28905
Murphy High	234 High School Circle	-	Murphy	28906
Tri-County Early College High	4650 E US 64 Alt.	-	Murphy	28906
Cherokee High	200 Ravensford Drive	-	Cherokee	28719
John A Holmes High	600 Woodard Street	-	Edenton	27932
Hayesville High	205 Yellow Jacket Drive	-	Hayesville	28904
Burns High	307 E Stagecoach Trail	-	Lawndale	28090
