ID	District	Name	Lat	Long	OfficeType	County	Notes	IsMobile	ContactPhone	ContactFax	StreetName	City	Zip
2058	4	Graham Driver License Office	36.0549006	-79.3983141	license	Alamance		False	(336) 570-6811		111 East Crescent Square	Graham	27253
2060	6	Taylorsville Driver License Office	35.9154291	-81.1362046	license	Alexander		False	(828) 632-1159		2390 NC Highway 90 E.	Taylorsville	28681
2062	5	Blue Ridge Business Development Center Driver License Office	36.51366	-81.11907	license	Alleghany		False	(336) 372-6442		115 Atwood St. Suite 508	Sparta	28675
2064	6	Polkton Driver License Office	34.9900203	-80.1571987	license	Anson		False	(704) 694-5534	(704) 694-6348	5920 Highway 74 W.	Polkton	28135
2066	5	Ashe County Law Enforcement Center Driver License Office	36.41878	-81.458993	license	Ashe		False	(336) 246-5001	(336) 246-4568	140 Government Circle	Jefferson	28640
2322	8	Newland Town Hall Driver License Office	36.089666	-81.928203	license	Avery		False	(828) 733-8284	(828) 733-2069	301 Cranberry Street	Newland	28657
2069	1	Washington Driver License Office	35.573632	-77.064925	license	Beaufort		False	(252) 946-3995		1821 Carolina Avenue (U.S. Highway 17 N.)	Washington	27889
2073	2	Elizabethtown Driver License Office	34.630515	-78.608691	license	Bladen		False	(910) 862-3169	(910) 862-0918	197 S PINE ST	ELIZABETHTOWN	28337-9162
2076	2	Shallotte Driver License Office	33.965054	-78.395702	license	Brunswick		False	(910) 754-5114	(910) 754-9141	5298 MAIN ST	SHALLOTTE	28470-3438
2513	3	Mobile Unit at Fire Department Downtown Substation	33.919391	-78.018812	license	Brunswick	This is a mobile unit location. Availability is limited.	False	(919) 715-7000		111 E NASH ST	SOUTHPORT	28461-3933
2080	7	Asheville Driver License Office	35.570658	-82.618487	license	Buncombe		False	(828) 782-9600	(828) 232-2436	1624 Patton Avenue	Asheville	28806
2082	7	Morganton Driver License Office	35.718555	-81.675548	license	Burke		False	(828) 438-6294	(828) 433-4042	115 Government Drive	Morganton	28655
2086	6	Concord Driver License Office	35.4455385	-80.6148351	license	Cabarrus	Please be advised access to this office may be difficult at times due to an ongoing area road construction project.  Online services are available at MyNCDMV.gov.	False	(704) 782-7214	(704) 792-0222	2192 Kannapolis Highway	Concord	28027
2088	5	Hudson Driver License Office 	35.8459328	-81.479913	license	Caldwell		False	(828) 726-2504	(828) 726-2519	309 Pine Mountain Road	Hudson	28638
2090	1	Morehead City Driver License Office	34.734685	-76.7912562	license	Carteret		False	(252) 726-5586	(252) 808-2094	5347 US 70 W.	Morehead City	28557
2092	4	Yanceyville Driver License Office	36.4208	-79.335808	license	Caswell		False	(336) 694-9498		958 Fire Tower Road	Yanceyville	27379
