county	site_name	addr1	addr_sup	addr2	lat	long	10	11	12	15	16	17	18	22	23	24	25	26	13	14	19	20	21
BEAUFORT	BEAUFORT COUNTY BOARD OF ELECTIONS OFFICE	1308 HIGHLAND DR	#104	WASHINGTON, NC 27889	35.5497142	-77.0363866	8:00 AM - 5:00 PM	8:00 AM - 5:00 PM	8:00 AM - 5:00 PM	8:00 AM - 5:00 PM	8:00 AM - 5:00 PM	8:00 AM - 5:00 PM	8:00 AM - 5:00 PM	8:00 AM - 5:00 PM	8:00 AM - 5:00 PM	8:00 AM - 5:00 PM	8:00 AM - 5:00 PM	8:00 AM - 5:00 PM	Closed	Closed	Closed	Closed	Closed
CAMDEN	CAMDEN COUNTY BOARD OF ELECTIONS OFFICE	117 NC 343 HWY N		CAMDEN, NC 27921	36.329205	-76.174975	8:00 AM - 5:00 PM	8:00 AM - 5:00 PM	8:00 AM - 5:00 PM	8:00 AM - 5:00 PM	8:00 AM - 5:00 PM	8:00 AM - 5:00 PM	8:00 AM - 5:00 PM	8:00 AM - 5:00 PM	8:00 AM - 5:00 PM	8:00 AM - 5:00 PM	8:00 AM - 5:00 PM	8:00 AM - 5:00 PM	Closed	Closed	Closed	Closed	Closed
CARTERET	CARTERET COUNTY BOARD OF ELECTIONS OFFICE	1702 LIVE OAK ST		BEAUFORT, NC 28516	34.7286057	-76.639015	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	Closed	Closed	7:00 AM - 7:00 PM	Closed	Closed
CARTERET	WESTERN PARK COMMUNITY CENTER	275 OLD HIGHWAY 58		CEDAR POINT, NC 28584	34.6942241	-77.0728635	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	Closed	Closed	7:00 AM - 7:00 PM	Closed	Closed
CHOWAN	CHOWAN COUNTY BOARD OF ELECTIONS OFFICE	730 N GRANVILLE ST		EDENTON, NC 27932	36.0693771	-76.6078806	8:00 AM - 5:00 PM	8:00 AM - 5:00 PM	8:00 AM - 5:00 PM	8:00 AM - 5:00 PM	8:00 AM - 5:00 PM	8:00 AM - 5:00 PM	8:00 AM - 5:00 PM	8:00 AM - 5:00 PM	8:00 AM - 5:00 PM	8:00 AM - 5:00 PM	8:00 AM - 5:00 PM	8:00 AM - 5:00 PM	Closed	Closed	Closed	Closed	Closed
CRAVEN	CRAVEN COUNTY BOARD OF ELECTIONS OFFICE	406 CRAVEN ST		NEW BERN, NC 28560	35.108227	-77.0373312	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	Closed	Closed	Closed	Closed	Closed
CURRITUCK	CURRITUCK COUNTY BOARD OF ELECTIONS OFFICE	2811 CARATOKE HWY		CURRITUCK, NC 27929	36.453015	-76.020372	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	9:00 AM - 3:00 PM	Closed	7:00 AM - 7:00 PM	9:00 AM - 3:00 PM	Closed
DARE	DARE COUNTY BOARD OF ELECTIONS OFFICE	954 MARSHALL COLLINS DR		MANTEO, NC 27954	34.957914	-77.973863	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	8:30 AM - 1:00 PM	Closed	Closed	Closed	Closed
DARE	BAUM CENTER	300 MUSTIAN ST		KILL DEVIL HILLS, NC 27948	36.011032	-75.66234	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	8:30 AM - 1:00 PM	Closed	Closed	Closed	Closed
DARE	FESSENDEN ANNEX	47017 BUXTON BACK RD		BUXTON, NC 27920	35.2649636	-75.52942139999999	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	7:00 AM - 7:00 PM	8:30 AM - 1:00 PM	Closed	Closed	Closed	Closed
