Primary_Key	School Number	School Year	School Name	Official School Name	LEA Number	LEA Name	Name Prefix Description	Principal First Name	Principal Middle Name	Principal Last Name	Principal Name Suffix	Address Line1	Address Line2	City	State	Zip Code 5	Zip Code 4	Phone Office Area	Phone Office Exch	Phone Office Line	Phone Fax Area	Phone Fax Exch	Phone Fax Line 	Mailing Address Line1	Mailing Address Line2	Mailing City	Mailing State	Mailing Zip Code 5	Mailing Zip Code 4	URL School Address	Sch Operational Status	Sch Operational Status Desc	Opening Effective Date	Closing Date	School Type	School Type Desc	School Program Type	School Program Type Desc	Grade Level Current	Grade Level Approved	Grade Level First Year	Title I	School Calendar Type	School Calendar Description	Extended Hours	School Schedule Type	School Schedule Type Desc	School Designation Type	School Designation Desc	Virtual Status	SBE Region	SBE Region Names	Accreditation Status	Accreditation Status Desc	Federal School Number	College Board Number	School Membership	School Year For Sch Membership	School Teacher Count	School Year For Teachers	Cooperative Innovative HS	Cooperative MMYYYY SBE Approve	First Yr Est ADM	First Yr Est Paid Teacher FTE	Newly Constructed Facility	Occupancy Date	What Facility Will Sch Occupy	Share Space	Share Space Describe	New Sch Population From	List Of Closing Schools	County Code	County Description	Opening In School Year	Locale Type	Locale Type Desc	School Closings?	School Systartstatus	Record Created Timestamp	Record Created By	Last Changed Timestamp	Last Changed By
00A0002019	00A000	2019	NC Connections Academy	North Carolina Connections Academy	00A	NC Connections Academy	Dr	Nathan	-	Currie	-	2800 Meridian Parkway	Suite 150	Durham	NC	27713	-	919	224	4040	919	361	6321	-	-	-	-	-	-	http://www.connectionsacademy.com/north-carolina-virtual-school/home.aspx	1	Open	01-JUL-15	-	R	Regular School	N	None	KG:01:02:03:04:05:06:07:08:09:10:11:12	KG:01:02:03:04:05:06:07:08:09:10:11:12	KG:01:02:03:04:05:06:07:08:09	-	T	Traditional	-	B	Block	C	Charter	FULLVIRTUAL	3	North Central	-	-	370038603361	341070	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	032	Durham	2016	12	City, Midsize	-	-	03-11-2015 12:00AM	nicola_lefler	10-30-2018 07:13AM	liz_marsh
00B0002019	00B000	2019	NC Virtual Academy	NC Virtual Academy	00B	NC Virtual Academy	-	Joel	-	Medley	-	4220 NC Highway 55	Suite 130	Durham	NC	27713	-	919	346	0121	919	324	6597	-	-	-	-	-	-	http://ncva.k12.com/	1	Open	01-JUL-15	-	R	Regular School	N	None	KG:01:02:03:04:05:06:07:08:09:10:11:12	KG:01:02:03:04:05:06:07:08:09:10:11:12	KG:01:02:03:04:05:06:07:08:09:10	-	T	Traditional	-	S	Semester	C	Charter	FULLVIRTUAL	3	North Central	-	-	370039803362	341071	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	032	Durham	2016	41	Rural, Fringe	-	-	03-11-2015 12:00AM	nicola_lefler	04-02-2018 10:12AM	nicola_lefler
0103032019	010303	2019	ABSS Early College at ACC	ABSS Early College at ACC	010	Alamance-Burlington Schools	Ms	Bonnie 	-	Roane	-	1247 Jimmie Kerr Road	-	Graham	NC	27253	-	336	506	4001	336	506	4004	PO Box 8000	-	Graham	NC	27253	-	http://amc.abss.k12.nc.us	1	Open	02-JAN-06	-	R	Regular School	C	Cooperative Innovative High School	09:10:11:12:13	09:10:11:12:13	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	-	-	370003002972	341546	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	08-14-2018 04:48PM	iris_scott
0103042019	010304	2019	Alexander Wilson Elementary	Alexander Wilson Elementary	010	Alamance-Burlington Schools	Ms	Ashley	-	Westmoreland	-	2518 NC 54	-	Graham	NC	27253	-	336	578	1366	336	578	8092	-	-	-	-	-	-	http://awe.abss.k12.nc.us	1	Open	30-JUN-90	-	R	Regular School	N	None	PK:KG:01:02:03:04:05	PK:KG:01:02:03:04:05	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	SA	SACS	370003000001	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	01-11-2019 03:22PM	amy_richardson
0103082019	010308	2019	Altamahaw-Ossipee Elementary	Altamahaw-Ossipee Elementary	010	Alamance-Burlington Schools	Ms	Kristen	-	Saunders-Rivera	-	2832 N NC 87	-	Elon	NC	27244	-	336	538	6030	336	538	6032	-	-	-	-	-	-	http://aoe.abss.k12.nc.us	1	Open	30-JUN-90	-	R	Regular School	N	None	KG:01:02:03:04:05	KG:01:02:03:04:05	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	SA	SACS	370003000002	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	08-20-2018 03:58PM	iris_scott
0103102019	010310	2019	Broadview Middle	Broadview Middle	010	Alamance-Burlington Schools	Mr	Patrick	-	Battle	-	2229 Broadview Drive	-	Burlington	NC	27217	4303	336	570	6195	336	570	6202	-	-	-	-	-	-	http://brm.abss.k12.nc.us/	1	Open	30-JUN-96	-	R	Regular School	N	None	06:07:08	-	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	SA	SACS	370003000196	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	05-03-2010 05:21PM	ADMIN
0103112019	010311	2019	Career and Technical Education Center	Career and Technical Education Center	010	Alamance-Burlington Schools	Dr	Darrelll	-	Thomas	-	2550 Buckingham Road	-	Burlington	NC	27217	-	336	570	6092	336	570	6093	-	-	-	-	-	-	-	1	Open	24-JAN-12	-	V	Vocational Education	N	None	09:10:11:12	09:10:11:12	09:10:11:12	-	-	-	-	-	-	P	Public	NOTVIRTUAL	5	Piedmont Triad	-	-	370003003171	-	-	-	-	-	N	-	0	15	Y	15-AUG-11	-	N	-	All high schools	-	001	Alamance	2011	41	Rural, Fringe	N	-	04-28-2010 02:36PM	nicola_lefler	08-20-2018 03:54PM	iris_scott
0103122019	010312	2019	Highland Elementary	Highland Elementary	010	Alamance-Burlington Schools	Ms	Hollis	-	Wroblewski	-	3720 Bonnar Bridge Parkway	-	Burlington	NC	27215	-	336	538	8700	336	538	8705	-	-	-	-	-	-	http://hle.abss.k12.nc.us	1	Open	02-JUL-07	-	R	Regular School	N	None	KG:01:02:03:04:05	-	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	-	-	370003002838	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	05-03-2010 05:21PM	ADMIN
0103202019	010320	2019	E M Yoder Elementary	E M Yoder Elementary	010	Alamance-Burlington Schools	Dr	Leslie	-	Eldreth	-	301 N Charles Street	-	Mebane	NC	27302	2328	919	563	3722	919	563	9079	-	-	-	-	-	-	http://eye.abss.k12.nc.us	1	Open	30-JUN-90	-	R	Regular School	N	None	PK:KG:01:02:03:04:05	PK:KG:01:02:03:04:05	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	SA	SACS	370003000005	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	01-11-2019 03:23PM	amy_richardson
0103242019	010324	2019	Eastern Alamance High	Eastern Alamance High	010	Alamance-Burlington Schools	Dr	Diane	-	Hill	-	4040 Mebane Rogers	-	Mebane	NC	27302	9729	919	563	5991	919	563	6114	-	-	-	-	-	-	http://eah.abss.k12.nc.us	1	Open	30-JUN-90	-	R	Regular School	N	None	09:10:11:12	-	-	-	T	Traditional	-	S	Semester	P	Public	NOTVIRTUAL	5	Piedmont Triad	SA	SACS	370003000006	342575	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	001	Alamance	-	41	Rural, Fringe	-	1	04-23-2010 02:49PM	EDDIE	05-03-2010 05:21PM	ADMIN
