Place Name	addr1	addr_sup	city	zip	lat	long	Site Type
ALLEGHANY COUNTY BOARD OF ELECTIONS	348 S. MAIN ST	LOWER LEVEL 10	SPARTA	28675	36.5013395	-81.11708139999999	County Board of Elections
ASHE COUNTY BOARD OF ELECTIONS	150 GOVERNMENT CIRCLE	STE 2100	JEFFERSON	28640	36.4183604	-81.459054	County Board of Elections
AVERY COUNTY BOARD OF ELECTIONS	200 MONTEZUMA ST	COURT HOUSE ANNEX, SUITE 307	NEWLAND	28657	36.0869929	-81.92646239999999	County Board of Elections
BEAUFORT COUNTY BOARD OF ELECTIONS	1308 HIGHLAND DRIVE	SUITE 104	WASHINGTON	27889	35.5497142	-77.0363866	County Board of Elections
BURKE COUNTY BOARD OF ELECTIONS	2128 S STERLING ST	STE. 100	MORGANTON	28655	35.7247709	-81.661254	County Board of Elections
CARTERET COUNTY BOARD OF ELECTIONS	1702 LIVE OAK ST	SUITE 200	BEAUFORT	28516	34.7286057	-76.639015	County Board of Elections
CHATHAM COUNTY BOARD OF ELECTIONS	984 THOMPSON ST	STE. D	PITTSBORO	27312	35.7205064	-79.1604531	County Board of Elections
CUMBERLAND COUNTY BOARD OF ELECTIONS	227 FOUNTAINHEAD LANE	SUITE 101	FAYETTEVILLE	28301	35.0537545	-78.8897057	County Board of Elections
DAVIDSON COUNTY BOARD OF ELECTIONS	945 N MAIN ST	SUITE A	LEXINGTON	27292	35.8315462	-80.242282	County Board of Elections
DAVIE COUNTY BOARD OF ELECTIONS	161 POPLAR ST	SUITE 102	MOCKSVILLE	27028	35.8988847	-80.55598370000001	County Board of Elections
EDGECOMBE COUNTY BOARD OF ELECTIONS	201 ST ANDREW ST	RM 434	TARBORO	27886	35.8965458	-77.5321151	County Board of Elections
GASTON COUNTY BOARD OF ELECTIONS	410 W. FRANKLIN BLVD	STE. 50	GASTONIA	28052	35.2628382	-81.1879581	County Board of Elections
GUILFORD COUNTY BOARD OF ELECTIONS	301 W. MARKET ST	ROOM 115	GREENSBORO	27401	36.072165	-79.79266199999999	County Board of Elections
JONES COUNTY BOARD OF ELECTIONS	367 HWY 58-S	B	TRENTON	28585	35.0563595	-77.3567695	County Board of Elections
LEE COUNTY BOARD OF ELECTIONS	225 S. STEELE ST.		SANFORD	27330	35.4790055	-79.1774047	County Board of Elections
LENOIR COUNTY BOARD OF ELECTIONS	110 S HERRITAGE ST	C	KINSTON	28501	35.2593988	-77.5821148	County Board of Elections
LINCOLN COUNTY BOARD OF ELECTIONS	115 W MAIN ST	ROOM 201	LINCOLNTON	28092	35.4705024	-81.2579921	County Board of Elections
MADISON COUNTY BOARD OF ELECTIONS	5707 HWY 25-70	RM 16	MARSHALL	28753	35.812863	-82.673605	County Board of Elections
MARTIN COUNTY BOARD OF ELECTIONS	305 E MAIN ST	ROOM 120	WILLIAMSTON	27892	35.8565129	-77.05185900000001	County Board of Elections
MECKLENBURG COUNTY BOARD OF ELECTIONS	741 KENILWORTH AVE	STE 202	CHARLOTTE	28204	35.20976	-80.837206	County Board of Elections
NASH COUNTY BOARD OF ELECTIONS	1006 EASTERN AVENUE	RM 109	NASHVILLE	27856	35.9719849	-77.9469156	County Board of Elections
NEW HANOVER COUNTY BOARD OF ELECTIONS	230 GOVERNMENT CENTER DR	SUITE 38	WILMINGTON	28403	34.2415363	-77.8669649	County Board of Elections
